x	y	z	length	width	height	class_name	score
-1.409	3.790	-2.954	0.800	0.800	0.800	bed	0.617
-3.543	4.100	-5.478	0.800	0.800	0.800	desk	0.785
-1.735	2.645	-4.670	0.800	0.800	0.800	desk	0.820
-4.501	2.713	-5.348	0.800	0.800	0.800	chair	0.893
-3.018	4.321	-6.119	0.800	0.800	0.800	desk	0.603
-5.026	5.435	-5.890	0.800	0.800	0.800	desk	0.713
-2.738	4.285	-5.014	0.800	0.800	0.800	desk	0.671
-4.044	3.975	-4.979	0.800	0.800	0.800	desk	0.804
-2.242	3.983	-5.712	0.800	0.800	0.800	desk	0.876
-4.078	4.248	-5.777	0.800	0.800	0.800	desk	0.967
-1.719	3.611	-4.888	0.800	0.800	0.800	chair	0.787
-1.642	1.351	-1.798	0.800	0.800	0.800	bed	0.819
-2.264	3.310	-5.031	0.800	0.800	0.800	desk	0.797
-3.385	2.361	-2.866	0.800	0.800	0.800	chair	0.896
-3.367	2.659	-4.343	0.800	0.800	0.800	desk	0.546
-2.531	3.756	-5.494	0.800	0.800	0.800	desk	0.928
-2.957	4.188	-4.530	0.800	0.800	0.800	desk	0.955
-1.296	2.169	-2.776	0.800	0.800	0.800	tv_stand	0.952
-4.694	5.103	-5.805	0.800	0.800	0.800	desk	0.547
-2.562	4.054	-5.837	0.800	0.800	0.800	desk	0.811
-1.899	3.102	-4.517	0.800	0.800	0.800	desk	0.437
-2.969	2.266	-3.954	0.800	0.800	0.800	chair	0.746
-3.119	3.895	-5.699	0.800	0.800	0.800	desk	0.961
-3.783	4.661	-4.832	0.800	0.800	0.800	tv_stand	0.541
-2.425	2.109	-3.403	0.800	0.800	0.800	desk	0.427
